Id,CustomerLocationId,MarketplaceDistributorId,Code,CreatedDate,ModifiedDate,Deleted,DeletedDate,DeletedUser,borrado
136,155,11,4960,"April 9, 2025, 1:32 PM","April 9, 2025, 1:32 PM",,"January 1, 2000, 12:00 AM",,0
141,158,11,8164,"April 10, 2025, 4:15 PM","April 10, 2025, 4:15 PM",,"January 1, 2000, 12:00 AM",,0
127,150,12,3068901,"April 1, 2025, 3:33 PM","April 1, 2025, 3:33 PM",,"January 1, 2000, 12:00 AM",,0
130,151,10,Y700,"April 3, 2025, 1:25 PM","April 3, 2025, 1:25 PM",,"January 1, 2000, 12:00 AM",,0
131,127,12,1515,"April 3, 2025, 2:44 PM","April 3, 2025, 2:44 PM",,"January 1, 2000, 12:00 AM",,0
132,127,10,1717,"April 3, 2025, 2:50 PM","April 3, 2025, 2:50 PM",,"January 1, 2000, 12:00 AM",,0
133,152,11,9428,"April 3, 2025, 3:15 PM","April 3, 2025, 3:15 PM",,"January 1, 2000, 12:00 AM",,0
134,153,9,7283,"April 4, 2025, 11:50 AM","April 4, 2025, 11:50 AM",,"January 1, 2000, 12:00 AM",,0
148,159,9,9088,"April 10, 2025, 10:06 PM","April 10, 2025, 10:06 PM",,"January 1, 2000, 12:00 AM",,0
150,161,10,1065,"April 11, 2025, 2:36 PM","April 11, 2025, 2:36 PM",,"January 1, 2000, 12:00 AM",,0
151,162,9,8041,"April 11, 2025, 5:10 PM","April 11, 2025, 5:10 PM",,"January 1, 2000, 12:00 AM",,0
161,165,12,217501,"April 15, 2025, 12:15 PM","April 15, 2025, 12:15 PM",,"January 1, 2000, 12:00 AM",,0
162,127,7,310-10310-33709577129,"April 15, 2025, 3:44 PM","April 15, 2025, 3:44 PM",,"January 1, 2000, 12:00 AM",,0
169,169,15,1530,"April 16, 2025, 12:25 PM","April 16, 2025, 12:25 PM",,"January 1, 2000, 12:00 AM",,0
124,145,23,5258,"March 31, 2025, 8:10 PM","April 24, 2025, 6:31 PM",,"January 1, 2000, 12:00 AM",,0
171,170,15,1530,"April 16, 2025, 6:30 PM","April 16, 2025, 6:30 PM",,"January 1, 2000, 12:00 AM",,0
176,174,14,251.330,"April 16, 2025, 8:46 PM","April 16, 2025, 8:46 PM",,"January 1, 2000, 12:00 AM",,0
