ID,SalesPersonId,CustomerLocationId,RouteCode,CreatedDate,ModifiedDate,Deleted,DeletedDate,DeletedUser
1,280,10237,8,"August 7, 2025, 4:43 PM","August 7, 2025, 4:43 PM",,"January 1, 2000, 12:00 AM",
2,287,5322,2,"August 7, 2025, 4:43 PM","August 7, 2025, 4:43 PM",,"January 1, 2000, 12:00 AM",
3,285,6570,11,"August 7, 2025, 4:43 PM","August 7, 2025, 4:43 PM",,"January 1, 2000, 12:00 AM",
4,289,6570,4,"August 7, 2025, 4:43 PM","August 7, 2025, 4:43 PM",,"January 1, 2000, 12:00 AM",
5,274,7275,3,"August 7, 2025, 4:43 PM","August 7, 2025, 4:43 PM",,"January 1, 2000, 12:00 AM",
6,279,7907,7,"August 7, 2025, 4:43 PM","August 7, 2025, 4:43 PM",,"January 1, 2000, 12:00 AM",
7,244,10142,2,"August 7, 2025, 4:43 PM","August 7, 2025, 4:43 PM",,"January 1, 2000, 12:00 AM",
8,279,9402,7,"August 7, 2025, 4:43 PM","August 7, 2025, 4:43 PM",,"January 1, 2000, 12:00 AM",
9,233,7575,1,"August 7, 2025, 4:43 PM","August 7, 2025, 4:43 PM",,"January 1, 2000, 12:00 AM",
10,245,7636,20,"August 7, 2025, 4:43 PM","August 7, 2025, 4:43 PM",,"January 1, 2000, 12:00 AM",
11,278,8993,6,"August 7, 2025, 4:43 PM","August 7, 2025, 4:43 PM",,"January 1, 2000, 12:00 AM",
12,278,7470,6,"August 7, 2025, 4:43 PM","August 7, 2025, 4:43 PM",,"January 1, 2000, 12:00 AM",
13,293,5421,8,"August 7, 2025, 4:43 PM","August 7, 2025, 4:43 PM",,"January 1, 2000, 12:00 AM",
14,284,5421,1,"August 7, 2025, 4:43 PM","August 7, 2025, 4:43 PM",,"January 1, 2000, 12:00 AM",
15,278,6818,6,"August 7, 2025, 4:43 PM","August 7, 2025, 4:43 PM",,"January 1, 2000, 12:00 AM",
16,233,7250,1,"August 7, 2025, 4:43 PM","August 7, 2025, 4:43 PM",,"January 1, 2000, 12:00 AM",
17,233,9173,1,"August 7, 2025, 4:43 PM","August 7, 2025, 4:43 PM",,"January 1, 2000, 12:00 AM",
18,276,7895,4,"August 7, 2025, 4:43 PM","August 7, 2025, 4:43 PM",,"January 1, 2000, 12:00 AM",
19,244,7535,2,"August 7, 2025, 4:43 PM","August 7, 2025, 4:43 PM",,"January 1, 2000, 12:00 AM",
