grupo_consolidacion_id,location_id,is_master,criterio_agrupacion,dominio,emails,confianza,requiere_revision,alerta,locations_en_grupo,usuarios_en_grupo,codigos_compartidos,taxids_unicos,pedidos_total,distancia_max_metros
CORP_0001,10340,False,DOMINIO_CORPORATIVO,greencodesoftware.com,alejandro.perez@greencodesoftware.com; enzo.migliaro+testmda@greencodesoftware.com; enzo.migliaro@greencodesoftware.com; estefania.bartolomeo@greencodesoftware.com; facundo.munoz@greencodesoftware.com; franco.pandolfo.capacitacion1@greencodesoftware.com; franco.pandolfo.capacitacion@greencodesoftware.com; franco.pandolfo@greencodesoftware.com; mauricio.malsenido@greencodesoftware.com; sebastian.alonso+test07@greencodesoftware.com; sebastian.alonso+testrampup4@greencodesoftware.com; sebastian.alonso+testrampup6@greencodesoftware.com; valeria.jacquier@greencodesoftware.com,BAJA,True,CONFLICTO_TAXID,50,15.0,0.0,23,94.0,
CORP_0001,10358,False,DOMINIO_CORPORATIVO,greencodesoftware.com,alejandro.perez@greencodesoftware.com; enzo.migliaro+testmda@greencodesoftware.com; enzo.migliaro@greencodesoftware.com; estefania.bartolomeo@greencodesoftware.com; facundo.munoz@greencodesoftware.com; franco.pandolfo.capacitacion1@greencodesoftware.com; franco.pandolfo.capacitacion@greencodesoftware.com; franco.pandolfo@greencodesoftware.com; mauricio.malsenido@greencodesoftware.com; sebastian.alonso+test07@greencodesoftware.com; sebastian.alonso+testrampup4@greencodesoftware.com; sebastian.alonso+testrampup6@greencodesoftware.com; valeria.jacquier@greencodesoftware.com,BAJA,True,CONFLICTO_TAXID,50,15.0,0.0,23,94.0,
CORP_0001,10344,True,DOMINIO_CORPORATIVO,greencodesoftware.com,alejandro.perez@greencodesoftware.com; enzo.migliaro+testmda@greencodesoftware.com; enzo.migliaro@greencodesoftware.com; estefania.bartolomeo@greencodesoftware.com; facundo.munoz@greencodesoftware.com; franco.pandolfo.capacitacion1@greencodesoftware.com; franco.pandolfo.capacitacion@greencodesoftware.com; franco.pandolfo@greencodesoftware.com; mauricio.malsenido@greencodesoftware.com; sebastian.alonso+test07@greencodesoftware.com; sebastian.alonso+testrampup4@greencodesoftware.com; sebastian.alonso+testrampup6@greencodesoftware.com; valeria.jacquier@greencodesoftware.com,BAJA,True,CONFLICTO_TAXID,50,15.0,0.0,23,94.0,
CORP_0001,100679,False,DOMINIO_CORPORATIVO,greencodesoftware.com,alejandro.perez@greencodesoftware.com; enzo.migliaro+testmda@greencodesoftware.com; enzo.migliaro@greencodesoftware.com; estefania.bartolomeo@greencodesoftware.com; facundo.munoz@greencodesoftware.com; franco.pandolfo.capacitacion1@greencodesoftware.com; franco.pandolfo.capacitacion@greencodesoftware.com; franco.pandolfo@greencodesoftware.com; mauricio.malsenido@greencodesoftware.com; sebastian.alonso+test07@greencodesoftware.com; sebastian.alonso+testrampup4@greencodesoftware.com; sebastian.alonso+testrampup6@greencodesoftware.com; valeria.jacquier@greencodesoftware.com,BAJA,True,CONFLICTO_TAXID,50,15.0,0.0,23,94.0,
CORP_0001,100741,False,DOMINIO_CORPORATIVO,greencodesoftware.com,alejandro.perez@greencodesoftware.com; enzo.migliaro+testmda@greencodesoftware.com; enzo.migliaro@greencodesoftware.com; estefania.bartolomeo@greencodesoftware.com; facundo.munoz@greencodesoftware.com; franco.pandolfo.capacitacion1@greencodesoftware.com; franco.pandolfo.capacitacion@greencodesoftware.com; franco.pandolfo@greencodesoftware.com; mauricio.malsenido@greencodesoftware.com; sebastian.alonso+test07@greencodesoftware.com; sebastian.alonso+testrampup4@greencodesoftware.com; sebastian.alonso+testrampup6@greencodesoftware.com; valeria.jacquier@greencodesoftware.com,BAJA,True,CONFLICTO_TAXID,50,15.0,0.0,23,94.0,
CORP_0001,100742,False,DOMINIO_CORPORATIVO,greencodesoftware.com,alejandro.perez@greencodesoftware.com; enzo.migliaro+testmda@greencodesoftware.com; enzo.migliaro@greencodesoftware.com; estefania.bartolomeo@greencodesoftware.com; facundo.munoz@greencodesoftware.com; franco.pandolfo.capacitacion1@greencodesoftware.com; franco.pandolfo.capacitacion@greencodesoftware.com; franco.pandolfo@greencodesoftware.com; mauricio.malsenido@greencodesoftware.com; sebastian.alonso+test07@greencodesoftware.com; sebastian.alonso+testrampup4@greencodesoftware.com; sebastian.alonso+testrampup6@greencodesoftware.com; valeria.jacquier@greencodesoftware.com,BAJA,True,CONFLICTO_TAXID,50,15.0,0.0,23,94.0,
CORP_0001,100743,False,DOMINIO_CORPORATIVO,greencodesoftware.com,alejandro.perez@greencodesoftware.com; enzo.migliaro+testmda@greencodesoftware.com; enzo.migliaro@greencodesoftware.com; estefania.bartolomeo@greencodesoftware.com; facundo.munoz@greencodesoftware.com; franco.pandolfo.capacitacion1@greencodesoftware.com; franco.pandolfo.capacitacion@greencodesoftware.com; franco.pandolfo@greencodesoftware.com; mauricio.malsenido@greencodesoftware.com; sebastian.alonso+test07@greencodesoftware.com; sebastian.alonso+testrampup4@greencodesoftware.com; sebastian.alonso+testrampup6@greencodesoftware.com; valeria.jacquier@greencodesoftware.com,BAJA,True,CONFLICTO_TAXID,50,15.0,0.0,23,94.0,
CORP_0001,100744,False,DOMINIO_CORPORATIVO,greencodesoftware.com,alejandro.perez@greencodesoftware.com; enzo.migliaro+testmda@greencodesoftware.com; enzo.migliaro@greencodesoftware.com; estefania.bartolomeo@greencodesoftware.com; facundo.munoz@greencodesoftware.com; franco.pandolfo.capacitacion1@greencodesoftware.com; franco.pandolfo.capacitacion@greencodesoftware.com; franco.pandolfo@greencodesoftware.com; mauricio.malsenido@greencodesoftware.com; sebastian.alonso+test07@greencodesoftware.com; sebastian.alonso+testrampup4@greencodesoftware.com; sebastian.alonso+testrampup6@greencodesoftware.com; valeria.jacquier@greencodesoftware.com,BAJA,True,CONFLICTO_TAXID,50,15.0,0.0,23,94.0,
CORP_0001,100745,False,DOMINIO_CORPORATIVO,greencodesoftware.com,alejandro.perez@greencodesoftware.com; enzo.migliaro+testmda@greencodesoftware.com; enzo.migliaro@greencodesoftware.com; estefania.bartolomeo@greencodesoftware.com; facundo.munoz@greencodesoftware.com; franco.pandolfo.capacitacion1@greencodesoftware.com; franco.pandolfo.capacitacion@greencodesoftware.com; franco.pandolfo@greencodesoftware.com; mauricio.malsenido@greencodesoftware.com; sebastian.alonso+test07@greencodesoftware.com; sebastian.alonso+testrampup4@greencodesoftware.com; sebastian.alonso+testrampup6@greencodesoftware.com; valeria.jacquier@greencodesoftware.com,BAJA,True,CONFLICTO_TAXID,50,15.0,0.0,23,94.0,
CORP_0001,100784,False,DOMINIO_CORPORATIVO,greencodesoftware.com,alejandro.perez@greencodesoftware.com; enzo.migliaro+testmda@greencodesoftware.com; enzo.migliaro@greencodesoftware.com; estefania.bartolomeo@greencodesoftware.com; facundo.munoz@greencodesoftware.com; franco.pandolfo.capacitacion1@greencodesoftware.com; franco.pandolfo.capacitacion@greencodesoftware.com; franco.pandolfo@greencodesoftware.com; mauricio.malsenido@greencodesoftware.com; sebastian.alonso+test07@greencodesoftware.com; sebastian.alonso+testrampup4@greencodesoftware.com; sebastian.alonso+testrampup6@greencodesoftware.com; valeria.jacquier@greencodesoftware.com,BAJA,True,CONFLICTO_TAXID,50,15.0,0.0,23,94.0,
